Làm cho mình một matcha macchiato,Mình matcha macchiato một làm
Tôi lấy một socola macchiato,Tôi socola macchiato một lấy
Mình muốn một nước ép cà chua,Mình nước ép cà chua một muốn
Tôi cần một nước ép ổi,Tôi nước ép ổi một cần
Cho tôi một nước ép cóc,Tôi nước ép cóc một cho
Làm cho mình một sữa chua đào,Mình sữa chua đào một làm
Tôi gọi một sữa chua xoài,Tôi sữa chua xoài một gọi
Mình muốn một sữa chua cam nha đam,Mình sữa chua cam nha đam một muốn
Tôi cần một sữa chua việt quất,Tôi sữa chua việt quất một cần
Cho tôi một ly trà gừng,Tôi trà gừng một cho
Tôi muốn gọi ba ly bạc xỉu đá,Tôi bạc xỉu đá ba gọi
Làm ơn cho mình hai cà phê đen máy,Mình cà-phê đen máy hai làm ơn
Mình lấy một ly cà phê kem caramel,Mình cà-phê kem caramel một lấy
Tôi cần một ly cà phê muối,Tôi cà-phê muối một cần
Cho mình một cacao nóng,Mình cacao nóng một cho
Mình gọi ba ly socola đá,Mình socola đá ba gọi
Tôi muốn lấy một trà xoài đậu biếc macchiato,Tôi trà xoài đậu biếc macchiato một muốn lấy
Làm cho tôi một trà dâu đậu biếc macchiato,Tôi trà dâu đậu biếc macchiato một làm
Mình cần một ly nước chanh hoa đậu biếc,Mình nước chanh hoa đậu biếc một cần
Tôi muốn một ly nước ép cà rốt,Tôi nước ép cà rốt một muốn
Cho tôi hai sữa chua chanh dây,Tôi sữa chua chanh dây hai cho
Mình muốn gọi một trà lipton cam thảo đá,Mình trà lipton cam thảo đá một gọi
Tôi cần ba ly cà phê đen phin,Tôi cà-phê đen phin ba cần
Làm cho tôi một cà phê đen sài gòn máy,Tôi cà-phê đen sài gòn máy một làm
Mình lấy một americano,Mình americano một lấy
Tôi gọi một capuchino,Tôi capuchino một gọi
Cho mình hai cà phê dừa,Mình cà-phê dừa hai cho
Mình cần một cacao đá,Mình cacao đá một cần
Tôi muốn một socala nóng,Tôi socala nóng một muốn
Làm cho tôi ba matcha latte,Tôi matcha latte ba làm
Cho mình một cà phê trứng nóng,Mình cà-phê trứng nóng một cho
Mình gọi một trà xoài macchiato,Mình trà xoài macchiato một gọi
Tôi lấy hai milo macchiato,Tôi milo macchiato hai lấy
Mình cần một matcha macchiato,Mình matcha macchiato một cần
Cho tôi một khoai môn macchiato,Tôi khoai môn macchiato một cho
Tôi muốn ba socola macchiato,Tôi socola macchiato ba muốn
Mình gọi một nước chanh xí muội,Mình nước chanh xí muội một gọi
Làm cho mình một nước ép thơm,Mình nước ép thơm một làm
Tôi cần một nước ép cà chua,Tôi nước ép cà chua một cần
Cho tôi hai nước ép cóc,Tôi nước ép cóc hai cho
Mình muốn một sữa chua đào,Mình sữa chua đào một muốn
Tôi lấy một sữa chua dâu,Tôi sữa chua dâu một lấy
Mình cần ba sữa chua xoài,Mình sữa chua xoài ba cần
Cho tôi một sữa chua việt quất,Tôi sữa chua việt quất một cho
Tôi muốn gọi một sữa chua kiwi nha đam,Tôi sữa chua kiwi nha đam một gọi
Làm ơn cho mình hai trà xoài đậu biếc macchiato,Mình trà xoài đậu biếc macchiato hai làm ơn
Tôi muốn lấy một cà phê đen sài gòn phin,Tôi cà-phê đen sài gòn phin một muốn lấy
Mình cần ba bạc xỉu nóng,Mình bạc xỉu nóng ba cần
Cho tôi một capuchino,Tôi capuchino một cho
Mình gọi hai cà phê kem caramel,Mình cà-phê kem caramel hai gọi
Tôi muốn một cacao nóng,Tôi cacao nóng một muốn
Làm cho mình ba socola đá,Mình socola đá ba làm
Mình cần một matcha latte,Mình matcha latte một cần
Tôi lấy một cà phê trứng nóng,Tôi cà-phê trứng nóng một lấy
Cho tôi một americano,Tôi americano một cho
Tôi muốn ba trà dâu macchiato,Tôi trà dâu macchiato ba muốn
Mình gọi một trà sen vàng macchiato,Mình trà sen vàng macchiato một gọi
Làm cho tôi hai milo macchiato,Tôi milo macchiato hai làm
Cho mình một matcha macchiato,Mình matcha macchiato một cho
Tôi cần một khoai môn macchiato,Tôi khoai môn macchiato một cần
Mình muốn một socola macchiato,Mình socola macchiato một muốn
Tôi gọi một nước chanh hoa đậu biếc,Tôi nước chanh hoa đậu biếc một gọi
Cho tôi hai nước ép cà rốt,Tôi nước ép cà rốt hai cho
Mình lấy một nước ép ổi,Mình nước ép ổi một lấy
Tôi cần ba nước ép cam,Tôi nước ép cam ba cần
Làm cho mình một sữa chua cam nha đam,Mình sữa chua cam nha đam một làm
Tôi muốn hai sữa chua việt quất,Tôi sữa chua việt quất hai muốn
Cho tôi một sữa chua chanh dây,Tôi sữa chua chanh dây một cho
Mình gọi ba trà dâu đậu biếc macchiato,Mình trà dâu đậu biếc macchiato ba gọi
Tôi lấy một cà phê đen sài gòn máy,Tôi cà-phê đen sài gòn máy một lấy
Cho tôi một capuchino,Tôi capuchino một cho
Mình cần ba cà phê muối,Mình cà-phê muối ba cần
Tôi muốn một cà phê dừa,Tôi cà-phê dừa một muốn
Làm cho mình hai cacao đá,Mình cacao đá hai làm
Cho tôi một socala nóng,Tôi socala nóng một cho
Mình gọi một cà phê moca,Mình cà-phê moca một gọi
Tôi muốn hai trà xoài macchiato,Tôi trà xoài macchiato hai muốn
Lấy cho mình một trà dâu macchiato,Mình trà dâu macchiato một lấy
Tôi cần một trà sen vàng macchiato,Tôi trà sen vàng macchiato một cần
Cho tôi ba milo macchiato,Tôi milo macchiato ba cho
Làm cho mình một matcha macchiato,Mình matcha macchiato một làm
Tôi muốn một khoai môn macchiato,Tôi khoai môn macchiato một muốn
Mình gọi hai nước chanh xí muội,Mình nước chanh xí muội hai gọi
Tôi lấy một nước ép thơm,Tôi nước ép thơm một lấy
Mình cần ba nước ép cà rốt,Mình nước ép cà rốt ba cần
Cho tôi một nước ép cà chua,Tôi nước ép cà chua một cho
Làm cho mình một nước ép cóc,Mình nước ép cóc một làm
Tôi muốn một sữa chua đào,Tôi sữa chua đào một muốn
Mình gọi hai sữa chua dâu,Mình sữa chua dâu hai gọi
Cho tôi một sữa chua xoài,Tôi sữa chua xoài một cho
Tôi cần ba sữa chua cam nha đam,Tôi sữa chua cam nha đam ba cần
Làm cho mình một sữa chua việt quất,Mình sữa chua việt quất một làm
Tôi muốn lấy hai trà lipton cam thảo đá,Tôi trà lipton cam thảo đá hai muốn lấy
Mình gọi một cà phê đen phin,Mình cà-phê đen phin một gọi
Cho tôi ba cà phê đen máy,Tôi cà-phê đen máy ba cho
Tôi cần một bạc xỉu đá,Tôi bạc xỉu đá một cần
Làm cho mình hai cà phê kem caramel,Mình cà-phê kem caramel hai làm
Mình muốn một cà phê muối,Mình cà-phê muối một muốn
Tôi lấy một cà phê dừa,Tôi cà-phê dừa một lấy
Cho tôi một socola đá,Tôi socola đá một cho
Mình cần hai matcha latte,Mình matcha latte hai cần
Tôi muốn một cà phê trứng đá,Tôi cà-phê trứng đá một muốn
Làm cho tôi ba americano,Tôi americano ba làm
Cho mình một trà xoài đậu biếc macchiato,Mình trà xoài đậu biếc macchiato một cho
Mình gọi một trà dâu macchiato,Mình trà dâu macchiato một gọi
Tôi muốn hai milo macchiato,Tôi milo macchiato hai muốn
Làm cho mình một khoai môn macchiato,Mình khoai môn macchiato một làm
Tôi cần một socola macchiato,Tôi socola macchiato một cần
Cho tôi một nước chanh hoa đậu biếc,Tôi nước chanh hoa đậu biếc một cho
Mình muốn hai nước ép cà rốt,Mình nước ép cà rốt hai muốn
Tôi gọi một nước ép cà chua,Tôi nước ép cà chua một gọi
Cho mình ba nước ép ổi,Mình nước ép ổi ba cho
Mình lấy một nước ép cam,Mình nước ép cam một lấy
Tôi cần một sữa chua dâu,Tôi sữa chua dâu một cần
Làm cho tôi hai sữa chua xoài,Tôi sữa chua xoài hai làm
Mình muốn một sữa chua chanh dây,Mình sữa chua chanh dây một muốn
Tôi gọi hai trà gừng,Tôi trà gừng hai gọi
Cho tôi ba trà sen vàng macchiato,Tôi trà sen vàng macchiato ba cho
Làm cho mình một bạc xỉu nóng,Mình bạc xỉu nóng một làm
Tôi muốn một cacao nóng,Tôi cacao nóng một muốn
Mình cần hai socala nóng,Mình socala nóng hai cần
Cho tôi một cà phê moca,Tôi cà-phê moca một cho
Tôi lấy ba cà phê trứng nóng,Tôi cà-phê trứng nóng ba lấy
Mình muốn một trà xoài macchiato,Mình trà xoài macchiato một muốn
Tôi gọi một matcha macchiato,Tôi matcha macchiato một gọi
Làm cho mình hai socola macchiato,Mình socola macchiato hai làm
Cho tôi một nước chanh xí muội,Tôi nước chanh xí muội một cho
Mình cần ba nước ép thơm,Mình nước ép thơm ba cần
Tôi muốn một nước ép ổi,Tôi nước ép ổi một muốn
Làm cho tôi hai nước ép cam,Tôi nước ép cam hai làm
Cho mình một sữa chua đào,Mình sữa chua đào một cho
Mình gọi ba sữa chua cam nha đam,Mình sữa chua cam nha đam ba gọi
Tôi lấy một sữa chua việt quất,Tôi sữa chua việt quất một lấy
Mình cần hai sữa chua kiwi nha đam,Mình sữa chua kiwi nha đam hai cần
Tôi muốn một trà lipton cam thảo đá,Tôi trà lipton cam thảo đá một muốn
Cho tôi một cà phê đen sài gòn phin,Tôi cà-phê đen sài gòn phin một cho
Làm cho mình hai cà phê đen máy,Mình cà-phê đen máy hai làm
Tôi cần ba bạc xỉu đá,Tôi bạc xỉu đá ba cần
Mình muốn một capuchino,Mình capuchino một muốn
Tôi lấy một cà phê kem caramel,Tôi cà-phê kem caramel một lấy
Cho tôi hai cà phê muối,Tôi cà-phê muối hai cho
Mình gọi ba cà phê dừa,Mình cà-phê dừa ba gọi
Tôi muốn một cacao đá,Tôi cacao đá một muốn
Làm cho tôi một cacao nóng,Tôi cacao nóng một làm
Cho mình hai socola đá,Mình socola đá hai cho
Mình cần ba socala nóng,Mình socala nóng ba cần
Tôi muốn một matcha latte,Tôi matcha latte một muốn
Tôi gọi một cà phê trứng đá,Tôi cà-phê trứng đá một gọi
Cho tôi hai americano,Tôi americano hai cho
Mình lấy ba trà xoài macchiato,Mình trà xoài macchiato ba lấy
Tôi cần một trà dâu đậu biếc macchiato,Tôi trà dâu đậu biếc macchiato một cần
Làm cho mình một trà sen vàng macchiato,Mình trà sen vàng macchiato một làm
Tôi muốn một milo macchiato,Tôi milo macchiato một muốn
Cho tôi hai matcha macchiato,Tôi matcha macchiato hai cho
Mình gọi ba khoai môn macchiato,Mình khoai môn macchiato ba gọi
Tôi lấy một socola macchiato,Tôi socola macchiato một lấy
Mình cần một nước chanh hoa đậu biếc,Mình nước chanh hoa đậu biếc một cần
Cho tôi hai nước ép thơm,Tôi nước ép thơm hai cho
Tôi muốn ba nước ép cà chua,Tôi nước ép cà chua ba muốn
Làm cho mình một nước ép ổi,Mình nước ép ổi một làm
Tôi gọi hai nước ép cóc,Tôi nước ép cóc hai gọi
Cho tôi một sữa chua đào,Tôi sữa chua đào một cho
Mình lấy một sữa chua dâu,Mình sữa chua dâu một lấy
Tôi cần hai sữa chua xoài,Tôi sữa chua xoài hai cần
Làm cho tôi ba sữa chua cam nha đam,Tôi sữa chua cam nha đam ba làm
Mình muốn một sữa chua việt quất,Mình sữa chua việt quất một muốn
Tôi gọi hai sữa chua kiwi nha đam,Tôi sữa chua kiwi nha đam hai gọi
Cho tôi ba sữa chua chanh dây,Tôi sữa chua chanh dây ba cho
Làm ơn cho tôi một trà gừng,Tôi trà gừng một làm ơn
Tôi muốn một trà đào cam sả đá,Tôi trà đào cam sả đá một muốn
Cho mình một trà thạch sữa đào,Mình trà thạch sữa đào một cho
Mình cần hai trà thạch vải,Mình trà thạch vải hai cần
Tôi lấy ba trà vải cam sả,Tôi trà vải cam sả ba lấy
Cho tôi một trà cam nha đam,Tôi trà cam nha đam một cho
Mình muốn một trà cam quế mật ong đá,Mình trà cam quế mật ong đá một muốn
Tôi cần hai trà cam quế mật ong nóng,Tôi trà cam quế mật ong nóng hai cần
Làm cho mình ba trà olong dâu vải,Mình trà olong dâu vải ba làm
Cho tôi một trà đào chanh leo,Tôi trà đào chanh leo một cho
Tôi muốn gọi một sữa tươi trân châu đường đen kem trứng,Tôi sữa tươi trân châu đường đen kem trứng một muốn gọi
Mình cần hai sữa tươi trân châu đường đen trứng nướng,Mình sữa tươi trân châu đường đen trứng nướng hai cần
Cho tôi một bò húc,Tôi bò húc một cho
Làm cho mình một socola đá xay,Mình socola đá xay một làm
Tôi muốn hai matcha đá xay,Tôi matcha đá xay hai muốn
Mình cần ba cacao đá xay,Mình cacao đá xay ba cần
Cho tôi một khoai môn đá xay,Tôi khoai môn đá xay một cho
Tôi lấy một cốt dừa cốm xanh,Tôi cốt dừa cốm xanh một lấy
Mình gọi hai bạc hà cookie đá xay,Mình bạc hà cookie đá xay hai gọi
Tôi muốn thêm một capuchino,Tôi capuchino một thêm muốn
Cho tôi một cà phê trứng nóng,Tôi cà-phê trứng nóng một cho
Mình cần hai trà xoài macchiato,Mình trà xoài macchiato hai cần
Làm cho tôi một trà sen vàng macchiato,Tôi trà sen vàng macchiato một làm
Tôi muốn một nước chanh hoa đậu biếc,Tôi nước chanh hoa đậu biếc một muốn
Cho mình ba nước ép thơm,Mình nước ép thơm ba cho
Mình gọi một sữa chua đào,Mình sữa chua đào một gọi
Tôi cần hai sữa chua chanh dây,Tôi sữa chua chanh dây hai cần
Lấy cho tôi một trà gừng,Tôi trà gừng một lấy
Mình muốn một trà đào cam sả nóng,Mình trà đào cam sả nóng một muốn
Tôi gọi hai trà lipton cam thảo nóng,Tôi trà lipton cam thảo nóng hai gọi
Cho tôi một trà thạch sữa đào,Tôi trà thạch sữa đào một cho
Mình cần ba trà vải cam sả,Mình trà vải cam sả ba cần
Tôi muốn một trà cam nha đam,Tôi trà cam nha đam một muốn
Làm cho mình hai trà cam quế mật ong đá,Mình trà cam quế mật ong đá hai làm
Cho tôi một trà cam quế mật ong nóng,Tôi trà cam quế mật ong nóng một cho
Mình gọi một trà olong dâu vải,Mình trà olong dâu vải một gọi
Tôi cần hai trà đào chanh leo,Tôi trà đào chanh leo hai cần
Lấy cho tôi một sữa tươi trân châu đường đen kem trứng,Tôi sữa tươi trân châu đường đen kem trứng một lấy
Mình muốn ba sữa tươi trân châu đường đen trứng nướng,Mình sữa tươi trân châu đường đen trứng nướng ba muốn
Cho tôi một bò húc,Tôi bò húc một cho
Làm cho mình một socola đá xay,Mình socola đá xay một làm
Tôi muốn hai matcha đá xay,Tôi matcha đá xay hai muốn
Mình cần ba cacao đá xay,Mình cacao đá xay ba cần
Cho tôi một khoai môn đá xay,Tôi khoai môn đá xay một cho
Tôi lấy một cốt dừa cốm xanh,Tôi cốt dừa cốm xanh một lấy
Mình gọi hai bạc hà cookie đá xay,Mình bạc hà cookie đá xay hai gọi
Tôi cần một bạc xỉu đá,Tôi bạc xỉu đá một cần
Cho tôi một cà phê muối,Tôi cà-phê muối một cho
Mình muốn ba cacao đá,Mình cacao đá ba muốn
Làm cho mình một socala nóng,Mình socala nóng một làm
Tôi gọi hai cà phê moca,Tôi cà-phê moca hai gọi
Cho tôi một americano,Tôi americano một cho
Mình cần ba trà dâu macchiato,Mình trà dâu macchiato ba cần
Tôi muốn một milo macchiato,Tôi milo macchiato một muốn
Làm cho tôi hai khoai môn macchiato,Tôi khoai môn macchiato hai làm
Cho mình một nước chanh xí muội,Mình nước chanh xí muội một cho
Mình gọi ba nước ép cà rốt,Mình nước ép cà rốt ba gọi
Tôi cần một nước ép cà chua,Tôi nước ép cà chua một cần
Lấy cho tôi hai nước ép cam,Tôi nước ép cam hai lấy
Mình muốn một sữa chua xoài,Mình sữa chua xoài một muốn
Cho tôi ba sữa chua việt quất,Tôi sữa chua việt quất ba cho
Tôi cần một trà lipton cam thảo đá,Tôi trà lipton cam thảo đá một cần
Mình muốn hai trà đào cam sả đá,Mình trà đào cam sả đá hai muốn
Cho tôi một trà đào cam sả nóng,Tôi trà đào cam sả nóng một cho
Làm cho mình ba trà thạch vải,Mình trà thạch vải ba làm
Tôi gọi một trà vải cam sả,Tôi trà vải cam sả một gọi
Mình cần hai trà cam nha đam,Mình trà cam nha đam hai cần
Tôi muốn một trà cam quế mật ong đá,Tôi trà cam quế mật ong đá một muốn
Cho tôi ba trà olong dâu vải,Tôi trà olong dâu vải ba cho
Mình lấy một trà đào chanh leo,Mình trà đào chanh leo một lấy
Tôi cần một sữa tươi trân châu đường đen kem trứng,Tôi sữa tươi trân châu đường đen kem trứng một cần
Cho mình hai sữa tươi trân châu đường đen trứng nướng,Mình sữa tươi trân châu đường đen trứng nướng hai cho
Mình muốn ba socola đá xay,Mình socola đá xay ba muốn
Tôi lấy một matcha đá xay,Tôi matcha đá xay một lấy
Cho tôi hai cacao đá xay,Tôi cacao đá xay hai cho
Mình cần ba khoai môn đá xay,Mình khoai môn đá xay ba cần
Tôi muốn một cốt dừa cốm xanh,Tôi cốt dừa cốm xanh một muốn
Làm cho mình hai bạc hà cookie đá xay,Mình bạc hà cookie đá xay hai làm
Tôi cần một cà phê đen sài gòn phin,Tôi cà-phê đen sài gòn phin một cần
Cho tôi ba cà phê đen máy,Tôi cà-phê đen máy ba cho
Mình muốn một bạc xỉu nóng,Mình bạc xỉu nóng một muốn
Tôi gọi hai cà phê kem caramel,Tôi cà-phê kem caramel hai gọi
Làm cho tôi một cà phê dừa,Tôi cà-phê dừa một làm
Cho mình ba cacao nóng,Mình cacao nóng ba cho
Mình cần một socola đá,Mình socola đá một cần
Tôi muốn hai matcha latte,Tôi matcha latte hai muốn
Lấy cho tôi ba cà phê trứng đá,Tôi cà-phê trứng đá ba lấy
Cho tôi một americano,Tôi americano một cho
Mình cần một trà xoài đậu biếc macchiato,Mình trà xoài đậu biếc macchiato một cần
Tôi muốn hai trà dâu đậu biếc macchiato,Tôi trà dâu đậu biếc macchiato hai muốn
Làm cho mình ba trà sen vàng macchiato,Mình trà sen vàng macchiato ba làm
Cho tôi một milo macchiato,Tôi milo macchiato một cho
Mình gọi hai matcha macchiato,Mình matcha macchiato hai gọi
Tôi cần ba socola macchiato,Tôi socola macchiato ba cần
Lấy cho tôi một nước chanh xí muội,Tôi nước chanh xí muội một lấy
Mình muốn một nước chanh hoa đậu biếc,Mình nước chanh hoa đậu biếc một muốn
Cho tôi hai nước ép thơm,Tôi nước ép thơm hai cho
Làm cho mình ba nước ép cà rốt,Mình nước ép cà rốt ba làm
Tôi gọi một nước ép ổi,Tôi nước ép ổi một gọi
Mình cần hai nước ép cóc,Mình nước ép cóc hai cần
Tôi muốn ba nước ép cam,Tôi nước ép cam ba muốn
Cho tôi một sữa chua đào,Tôi sữa chua đào một cho
Mình lấy hai sữa chua dâu,Mình sữa chua dâu hai lấy
Tôi cần ba sữa chua xoài,Tôi sữa chua xoài ba cần
Làm cho tôi một sữa chua cam nha đam,Tôi sữa chua cam nha đam một làm
Cho mình hai sữa chua việt quất,Mình sữa chua việt quất hai cho
Mình muốn ba sữa chua kiwi nha đam,Mình sữa chua kiwi nha đam ba muốn
Tôi gọi một sữa chua chanh dây,Tôi sữa chua chanh dây một gọi
Lấy cho tôi hai trà gừng,Tôi trà gừng hai lấy
vietnamese,vsl
Tôi muốn một ly cà phê đen phin.,Tôi cà-phê đen phin một muốn
Cho mình một cốc cà phê đen phin nhé.,mình cà-phê đen phin một muốn
Làm cho tôi một phần cà phê đen phin.,Tôi cà-phê đen phin một muốn
Mình sẽ lấy một món cà phê đen phin.,mình cà-phê đen phin một muốn
Tôi cần gọi một ly cà phê đen phin ngay.,Tôi cà-phê đen phin một muốn
Tôi muốn một ly cà phê đen máy.,Tôi cà-phê đen máy một muốn
Cho mình một cốc cà phê đen máy nhé.,mình cà-phê đen máy một muốn
Lấy giúp tôi một phần cà phê đen máy.,Tôi cà-phê đen máy một muốn
Mình sẽ gọi một ly cà phê đen máy.,mình cà-phê đen máy một muốn
Tôi dùng một cà phê đen máy được không?,Tôi cà-phê đen máy một muốn
Tôi muốn một ly cà phê đen Sài Gòn phin.,Tôi cà-phê đen Sài-Gòn phin một muốn
Cho mình một cốc cà phê đen Sài Gòn phin.,mình cà-phê đen Sài-Gòn phin một muốn
Làm cho tôi một phần cà phê đen Sài Gòn phin.,Tôi cà-phê đen Sài-Gòn phin một muốn
Mình lấy một món cà phê đen Sài Gòn phin.,mình cà-phê đen Sài-Gòn phin một muốn
Tôi cần một ly cà phê đen Sài Gòn phin.,Tôi cà-phê đen Sài-Gòn phin một muốn
Tôi muốn một ly cà phê đen Sài Gòn máy.,Tôi cà-phê đen Sài-Gòn máy một muốn
Cho mình một cốc cà phê đen Sài Gòn máy.,mình cà-phê đen Sài-Gòn máy một muốn
Lấy giúp tôi một phần cà phê đen Sài Gòn máy.,Tôi cà-phê đen Sài-Gòn máy một muốn
Mình sẽ gọi một ly cà phê đen Sài Gòn máy.,mình cà-phê đen Sài-Gòn máy một muốn
Tôi dùng một cà phê đen Sài Gòn máy.,Tôi cà-phê đen Sài-Gòn máy một muốn
Tôi muốn một ly bạc xỉu đá.,Tôi bạc xỉu đá một muốn
Cho mình một cốc bạc xỉu đá nhé.,mình bạc xỉu đá một muốn
Làm cho tôi một phần bạc xỉu đá.,Tôi bạc xỉu đá một muốn
Mình sẽ lấy một món bạc xỉu đá.,mình bạc xỉu đá một muốn
Tôi cần gọi một ly bạc xỉu đá ngay.,Tôi bạc xỉu đá một muốn
Tôi muốn một ly bạc xỉu nóng.,Tôi bạc xỉu nóng một muốn
Cho mình một cốc bạc xỉu nóng nhé.,mình bạc xỉu nóng một muốn
Lấy giúp tôi một phần bạc xỉu nóng.,Tôi bạc xỉu nóng một muốn
Mình sẽ gọi một ly bạc xỉu nóng.,mình bạc xỉu nóng một muốn
Tôi dùng một bạc xỉu nóng được không?,Tôi bạc xỉu nóng một muốn
Tôi muốn một ly capuchino.,Tôi capuchino một muốn
Cho mình một cốc capuchino nhé.,mình capuchino một muốn
Làm cho tôi một phần capuchino.,Tôi capuchino một muốn
Mình sẽ lấy một món capuchino.,mình capuchino một muốn
Tôi cần gọi một ly capuchino ngay.,Tôi capuchino một muốn
Tôi muốn một ly cà phê kem caramel.,Tôi cà-phê kem caramel một muốn
Cho mình một cốc cà phê kem caramel nhé.,mình cà-phê kem caramel một muốn
Lấy giúp tôi một phần cà phê kem caramel.,Tôi cà-phê kem caramel một muốn
Mình sẽ gọi một ly cà phê kem caramel.,mình cà-phê kem caramel một muốn
Tôi dùng một cà phê kem caramel.,Tôi cà-phê kem caramel một muốn
Tôi muốn một ly cà phê muối.,Tôi cà-phê muối một muốn
Cho mình một cốc cà phê muối nhé.,mình cà-phê muối một muốn
Làm cho tôi một phần cà phê muối.,Tôi cà-phê muối một muốn
Mình sẽ lấy một món cà phê muối.,mình cà-phê muối một muốn
Tôi cần gọi một ly cà phê muối ngay.,Tôi cà-phê muối một muốn
Tôi muốn một ly cà phê dừa.,Tôi cà-phê dừa một muốn
Cho mình một cốc cà phê dừa nhé.,mình cà-phê dừa một muốn
Lấy giúp tôi một phần cà phê dừa.,Tôi cà-phê dừa một muốn
Mình sẽ gọi một ly cà phê dừa.,mình cà-phê dừa một muốn
Tôi dùng một cà phê dừa được không?,Tôi cà-phê dừa một muốn
Tôi muốn một ly cacao đá.,Tôi cacao đá một muốn
Cho mình một cốc cacao đá nhé.,mình cacao đá một muốn
Làm cho tôi một phần cacao đá.,Tôi cacao đá một muốn
Mình sẽ lấy một món cacao đá.,mình cacao đá một muốn
Tôi cần gọi một ly cacao đá ngay.,Tôi cacao đá một muốn
