vietnamese,vsl
Mình chọn sữa chua xoài thêm topping trân châu.,mình sữa chua xoài một trân châu muốn
Cho mình xin thêm ít giấy ăn nhé.,mình giấy ăn ít muốn
"Tôi lấy ba ly trà gừng, để nóng nhé.",Tôi trà gừng nóng ba muốn
Cho Tôi ba ly nước ép cam và thêm giấy ăn.,Tôi nước ép cam ba giấy ăn muốn
Tôi muốn gọi thêm một ly sữa chua chanh dây.,Tôi sữa chua chanh dây một muốn
Cho mình một ly cà phê đen đá.,mình cà-phê đen một muốn
Tôi muốn một ly nước ép ổi và thêm giấy ăn.,Tôi nước ép ổi một giấy ăn muốn
Tôi gọi một ly nước ép ổi và hai ly sữa tươi trân châu đường đen.,Tôi nước ép ổi một trà sữa hai muốn
Lấy cho Tôi một ly nước ép cam và cảm ơn.,Tôi nước ép cam một muốn
Cho Tôi mượn phích cắm.,Tôi phích cắm muốn
"Cho mình trà xoài, ít đá.",mình trà xoài một đá ít muốn
Tôi muốn hai ly nước ép cóc và một phích cắm gần bàn.,Tôi nước ép cóc hai phích cắm muốn
Lấy cho mình một ly trà hoa đậu biếc đẹp đẹp nhé.,mình trà hoa đậu biếc một muốn
"Tôi lấy ba ly sữa chua dâu, làm nhanh giúp Tôi.",Tôi sữa chua dâu ba muốn
Pha cho mình một ly nước ép cam không đường.,mình nước ép cam một đường không muốn
Cho Tôi một ly trà hoa đậu biếc,Tôi trà hoa đậu biếc một muốn
Cho Tôi một ly cà phê đen,Tôi cà-phê đen một muốn
Cho Tôi thêm một ly sữa chua xoài.,Tôi sữa chua xoài một muốn
Cho Tôi thêm đá cho hai ly cà phê sữa.,Tôi cà-phê sữa hai đá muốn
Mình uống một ly nước ép ổi nguyên chất.,mình nước ép ổi một nguyên chất muốn
Tôi cảm ơn bạn,Tôi cảm ơn
Cho mình một nước ép cóc không bỏ đường.,mình nước ép cóc một đường không muốn
Tôi muốn hai ly cà phê đen.,Tôi cà-phê đen hai muốn
Gọi giúp mình một nước ép cóc ít ngọt.,mình nước ép cóc một ngọt ít muốn
Tôi muốn một ly cà phê đen và thêm giấy ăn.,Tôi cà-phê đen một giấy ăn muốn
"Tôi muốn bốn ly sữa chua chanh dây, làm lạnh.",Tôi sữa chua chanh dây bốn lạnh muốn
Làm cho Tôi một ly nước ép cóc,Tôi nước ép cóc một muốn
Tôi muốn một ly cà phê đen và thêm giấy ăn.,Tôi cà-phê đen một giấy ăn muốn
Lấy cho Tôi một ly cà phê đen và một ly nước ép thơm.,Tôi cà-phê đen một nước ép thơm một muốn
Tôi muốn năm ly sữa tươi trân châu đường đen.,Tôi trà sữa năm muốn
Cho Tôi hai ly trà xoài và một ly nước ép cam.,Tôi trà xoài hai nước ép cam một muốn
"Tôi lấy một ly trà hoa đậu biếc, không đường.",Tôi trà hoa đậu biếc một đường không muốn
Tôi lấy hai ly sữa chua xoài và một ly trà gừng.,Tôi sữa chua xoài hai trà gừng một muốn
"Tôi muốn bốn ly sữa tươi trân châu đường đen kem trứng, ít ngọt.",Tôi trà sữa  bốn ngọt ít muốn
"Tôi gọi hai ly sữa chua xoài, một ly cà phê đen, và một phích cắm.",Tôi sữa chua xoài hai cà-phê đen một phích cắm muốn
"Lấy cho Tôi ba ly trà xoài, thêm đường.",Tôi trà xoài ba đường muốn
"Tôi muốn ba ly nước ép cóc, thêm đá nhiều.",Tôi nước ép cóc ba đá nhiều muốn
Cho Tôi một ly sữa chua xoài,Tôi sữa chua xoài một muốn
Cho Tôi thêm một ly trà dâu,Tôi trà dâu một muốn
Làm cho Tôi một ly sữa chua chanh dây,Tôi sữa chua chanh dây một muốn
Tôi gọi một ly trà dâu,Tôi trà dâu một muốn
Tôi muốn mượn phích cắm.,Tôi phích cắm muốn
Cho Tôi thêm một cái muỗng.,Tôi muỗng một muốn
Tôi cần một cái ống hút.,Tôi ống hút một muốn
Tôi muốn một ly trà gừng và hai ly cà phê sữa.,Tôi trà gừng một cà-phê sữa hai muốn
Tôi muốn ba ly nước ép thơm và một phích cắm.,Tôi nước ép thơm ba phích cắm muốn
"Tôi muốn một ly trà hoa đậu biếc, hai ly nước ép ổi, và một phích cắm.",Tôi trà hoa đậu biếc một nước ép ổi hai phích cắm muốn
Tôi muốn gọi thêm một ly trà xoài.,Tôi trà xoài một muốn
Cho Tôi thêm một ly nước ép thơm.,Tôi nước ép thơm một muốn
Tôi muốn gọi thêm một ly trà gừng.,Tôi trà gừng một muốn
Làm cho Tôi thêm một ly trà dâu.,Tôi trà dâu một muốn
Mình muốn gọi một cà phê sữa nóng.,mình cà-phê sữa một nóng muốn
Mình uống một nước ép ổi vừa thôi.,mình nước ép ổi một muốn
Mình uống một ly trà gừng nóng.,mình trà gừng một nóng muốn
Mình muốn thử sữa tươi trân châu đường đen kem trứng.,mình trà sữa một muốn
Lấy giúp mình một tờ giấy ăn.,mình giấy ăn một muốn
Làm cho mình một ly cà phê đen không đường.,mình cà-phê đen một đường không muốn
Mình chọn một phần trà dâu nha.,mình trà dâu một muốn
Mình muốn một phần sữa chua xoài.,mình sữa chua xoài một muốn
"Tôi muốn một ly cà phê đen, ít đường thôi.",Tôi ly một cà phê đen đường ít muốn
