vietnamese,vsl
Em muốn uống một ly cà phê trứng đá bây giờ,Tôi cà-phê đen một đường không muốn
Anh gọi một tách cacao muốn uống tại quán,Tôi ly một cà phê đen đường ít muốn
Chuẩn bị giúp mình một nước ép ổi thật ngon,Tôi nước ép thơm một muốn
Mình order gọi một ly sữa tươi trân châu đường đen kem trứng,mình trà sữa một muốn
Cho giúp tôi một phần trà đào cam sả đá mang về,Tôi trà hoa đậu biếc một muốn
Lấy mình gọi một sữa chua đào với ạ,Tôi sữa chua xoài hai sữa chua dâu một muốn
Làm giúp mình một nước chanh xí muội thật ngon,mình nước ép cóc một đường không muốn
Làm ơn chuẩn bị đem mình một cà phê moca,Tôi cà-phê sữa bốn đá nhiều muốn
Mình order một cốc nước ép ổi nha bạn,mình nước ép thơm một đá không muốn
Lấy em xin một sữa chua dâu size vừa nha,Tôi sữa chua chanh dây ba phích cắm muốn
Lấy em một trà gừng ít đá nha,Tôi trà xoài hai đá muốn
Đem em xin một nước chanh xí muội size vừa nha,mình nước ép cam một đường không muốn
Mình order gọi một ly cacao nóng,Tôi cà-phê đen hai muốn
Đem mình gọi một cacao đá với ạ,Tôi cà-phê đen một giấy ăn muốn
Mình order một cốc trà vải cam sả nha bạn,Tôi trà xoài ba đường muốn
Đem mình một trà thạch vải nha,Tôi muỗng một muốn
Đem mình gọi một trà đào chanh leo với ạ,Tôi trà hoa đậu biếc ba muốn
Lấy tôi một ly socola macchiato lạnh nha,mình giấy ăn ít muốn
Lấy tôi một ly nước ép cà chua lạnh nha,Tôi nước ép cam một muốn
Mình order một tách nước ép cam nha bạn,mình nước ép cóc một ngọt ít muốn
Đem em xin một cà phê trứng đá size vừa nha,Tôi ống hút một muốn
Đem tôi một ly nước ép cóc lạnh nha,Tôi nước ép thơm một muốn
Lấy em xin một trà đào chanh leo size vừa nha,Tôi trà gừng một muốn
Đem mình gọi một socola đá với ạ,Tôi cà-phê đen hai muốn
Anh gọi một cốc sữa chua cam nha đam uống tại quán,Tôi sữa chua chanh dây bốn lạnh muốn
Cho giúp tôi một phần cà phê moca mang về,Tôi giấy ăn muốn
Đem mình gọi một cà phê đen phin với ạ,mình cà-phê sữa một nóng muốn
Lấy mình một cà phê đen phin nha,Tôi cà-phê đen một đường ít muốn
Lấy em một trà đào cam sả nóng ít đá nha,mình trà dâu một muốn
Lấy mình một phần trà gừng được không,mình trà xoài một đá ít muốn
Anh gọi một tách nước ép cóc uống tại quán,Tôi trà xoài hai nước ép cam một muốn
Đem mình một phần socola đá được không,Tôi cà-phê sữa hai đá ít muốn
Lấy mình gọi một nước ép cà chua với ạ,mình nước ép thơm một đá không muốn
Làm ơn chuẩn bị lấy mình một nước chanh xí muội,Tôi cà-phê đen một nước ép thơm một muốn
Làm ơn đem mình một ly trà thạch vải,mình trà hoa đậu biếc một muốn
Lấy em một nước chanh hoa đậu biếc ít đá nha,mình nước ép cóc một đường không muốn
Lấy mình một phần socola macchiato được không,mình giấy ăn ít muốn
Đem mình gọi một trà lipton cam thảo đá với ạ,Tôi trà dâu ba đường muốn
Làm ơn lấy mình một ly nước ép cà rốt,Tôi nước ép thơm một nước ép cam hai muốn
Anh gọi một cốc sữa chua việt quất uống tại quán,Tôi cà-phê đen một sữa chua xoài hai muốn
Lấy mình một phần trà cam quế mật ong đá được không,Tôi trà dâu bốn muốn
Cho cho mình một ly cà phê muối mang đi,Tôi cà-phê đen hai muốn
Làm ơn lấy mình một ly nước chanh xí muội,Tôi nước ép ổi hai ngọt ít muốn
Lấy em một nước ép cà chua ít đá nha,Tôi nước ép ổi một giấy ăn muốn
Đem mình gọi một sữa chua chanh dây với ạ,Tôi sữa chua xoài một muốn
Mình order một tách sữa tươi trân châu đường đen kem trứng nha bạn,mình trà sữa một muốn
Làm ơn đem mình một ly sữa chua xoài,Tôi sữa chua dâu một muốn
Lấy em một nước ép ổi ít đá nha,Tôi nước ép cam một muốn
Mình order một cốc sữa chua cam nha đam nha bạn,mình sữa chua chanh dây một lạnh muốn
Đem mình một nước ép thơm nha,Tôi nước ép ổi hai ngọt ít muốn
Mình muốn uống một ly cà phê đen Sài Gòn máy bây giờ,Tôi muỗng một muốn
Lấy em một cà phê đen Sài Gòn máy ít đá nha,Tôi trà dâu một cà-phê sữa một đá ít muốn
Đem mình một phần trà gừng được không,Tôi trà dâu một muốn
Đem em xin một sữa chua cam nha đam size vừa nha,Tôi sữa chua xoài hai cà-phê đen một phích cắm muốn
Lấy mình gọi một cacao nóng với ạ,Tôi cà-phê sữa một muốn
Lấy mình gọi một nước chanh hoa đậu biếc với ạ,Tôi nước ép ổi hai ngọt ít muốn
Chuẩn bị giúp mình một trà thạch vải thật ngon,Tôi trà xoài hai đá muốn
Anh gọi một tách nước ép ổi uống tại quán,mình nước ép cam một đá ít muốn
Đem em một nước ép thơm ít đá nha,Tôi nước ép cóc một muốn
Làm ơn chuẩn bị đem mình một trà vải cam sả,Tôi trà hoa đậu biếc một muốn
Lấy mình một phần cà phê trứng nóng được không,Tôi cà-phê đen một giấy ăn muốn
Đem mình một sữa chua kiwi nha đam nha,mình sữa chua chanh dây một lạnh muốn
Lấy mình gọi một trà sen vàng macchiato với ạ,mình giấy ăn ít muốn
Đem mình một sữa chua đào nha,Tôi sữa chua dâu một đường không muốn
Đem mình một matcha latte nha,mình sạc phích cắm muốn
Đem mình một phần sữa chua xoài được không,Tôi sữa chua dâu một muốn
Cho cho mình một ly nước chanh xí muội mang đi,Tôi nước ép cóc một nước ép ổi một muốn
Chuẩn bị giúp mình một cacao muốn thật ngon,Tôi cà-phê đen một muốn
Anh muốn uống một ly cacao đá bây giờ,Tôi cà-phê đen hai muốn
Mang giúp tôi một phần sữa chua chanh dây mang về,mình sữa chua xoài một trân châu muốn
Cho cho mình một ly trà cam nha đam mang đi,Tôi trà gừng một cà-phê sữa hai muốn
Mình gọi gọi một ly trà cam quế mật ong đá,Tôi trà gừng một nóng muốn
Đem mình gọi một cà phê trứng nóng với ạ,mình cà-phê đen một muốn
Lấy em xin một sữa chua kiwi nha đam size vừa nha,Tôi sữa chua xoài hai cà-phê đen một muốn
Mang cho mình một ly cà phê trứng nóng mang đi,Tôi ly một cà phê đen đường ít muốn
Đem mình gọi một trà gừng với ạ,Tôi trà xoài ba đường muốn
Lấy mình gọi một sữa tươi trân châu đường đen trứng nướng với ạ,mình trà sữa một muốn
Đem em xin một trà đào chanh leo size vừa nha,Tôi trà xoài hai đá muốn
Làm ơn chuẩn bị đem mình một trà cam nha đam,Tôi trà dâu ba đường muốn
Mang cho mình một ly trà vải cam sả mang đi,Tôi trà hoa đậu biếc một muốn
Lấy mình gọi một socola đá với ạ,Tôi cà-phê đen một muốn
Lấy em xin một sữa tươi trân châu đường đen kem trứng size vừa nha,Tôi trà sữa một muốn
Đem em xin một nước ép cà rốt size vừa nha,Tôi nước ép thơm một phích cắm muốn
Lấy em một sữa chua cam nha đam ít đá nha,Tôi sữa chua xoài một muốn
Mình order gọi một ly nước ép cóc,Tôi nước ép cam ba giấy ăn muốn
Làm ơn chuẩn bị lấy mình một sữa chua việt quất,Tôi sữa chua dâu một đường không muốn
Lấy tôi một ly sữa chua cam nha đam lạnh nha,Tôi sữa chua chanh dây ba muốn
Chuẩn bị giúp mình một americano thật ngon,Tôi giấy ăn muốn
Đem em xin một sữa chua kiwi nha đam size vừa nha,Tôi cà-phê đen một sữa chua xoài hai muốn
Anh gọi một ly sữa chua xoài uống tại quán,Tôi cà-phê đen một sữa chua xoài hai muốn
Mình muốn gọi một ly sữa chua dâu,Tôi sữa chua dâu một muốn
Cho em xin một sữa chua xoài size vừa nha,Tôi cà-phê đen một sữa chua xoài hai muốn
Lấy cho mình một ly sữa chua xoài mang đi,Tôi cà-phê đen một sữa chua xoài hai muốn
Làm ơn chuẩn bị cho mình một sữa chua xoài,Tôi cà-phê đen một sữa chua xoài hai muốn
Làm ơn cho mình một ly sữa chua chanh dây,mình sữa chua chanh dây một lạnh muốn
Mình muốn gọi một ly matcha macchiato,mình giấy ăn ít muốn
Anh gọi một ly nước ép cóc uống tại quán,Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
Cho mình một trà gừng nha,Tôi trà gừng một nóng muốn
Lấy giúp tôi một phần cà phê moca mang về,mình phích cắm muốn
Pha giúp mình một nước ép thơm thật ngon,mình nước ép thơm một lạnh muốn
Tôi muốn uống một ly socola đá xay bây giờ,Tôi ống hút một muốn
Cho mình gọi một trà với ạ,mình trà xoài một đường ít muốn
Cho mình gọi một matcha đá xay với ạ,Tôi phích cắm muốn
Cho em một nước ép ổi ít đá nha,Tôi nước ép ổi hai ngọt ít muốn
Anh gọi một ly cà phê moca uống tại quán,mình phích cắm muốn
Cho em một sữa chua xoài ít đá nha,Tôi cà-phê đen một sữa chua xoài hai muốn
Cho em xin một cà phê moca size vừa nha,mình phích cắm muốn
Tôi muốn uống một ly trà gừng bây giờ,Tôi trà gừng một nóng muốn
Làm ơn chuẩn bị cho mình một nước ép cóc,Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
Cho em xin một cà phê size vừa nha,Tôi cà-phê sữa một đá ít giấy ăn muốn
Mình order một ly sữa chua xoài nha bạn,Tôi cà-phê đen một sữa chua xoài hai muốn
Tôi muốn uống một ly nước ép ổi bây giờ,Tôi nước ép ổi một muốn
Lấy cho mình một ly nước ép thơm mang đi,Tôi nước ép thơm một muốn
Anh gọi một ly matcha đá xay uống tại quán,Tôi phích cắm muốn
Làm ơn cho mình một ly matcha latte,Tôi giấy ăn muốn
Lấy giúp tôi một phần cà phê trứng nóng mang về,Tôi giấy ăn phích cắm muốn
Lấy cho mình một ly nước ép cam mang đi,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Pha giúp mình một cà phê đen máy thật ngon,Tôi ống hút một muốn
Lấy cho mình một ly trà mang đi,mình trà xoài một đường ít muốn
Anh gọi một ly sữa chua đào uống tại quán,Tôi cảm ơn
Làm ơn cho mình một ly nước ép cam,mình cảm ơn
Mình muốn gọi một ly trà gừng,Tôi trà gừng một nóng muốn
Cho em xin một matcha latte size vừa nha,Tôi giấy ăn muốn
Cho mình gọi một nước ép thơm với ạ,mình nước ép thơm một đá không muốn
Cho mình gọi một nước ép ổi với ạ,Tôi nước ép ổi hai ngọt ít muốn
Cho mình gọi một sữa tươi trân châu đường đen kem trứng với ạ,Tôi trà sữa hai đá muốn
Cho tôi một ly trà lạnh nha,mình trà xoài một đường ít muốn
Cho mình gọi một nước ép cóc với ạ,Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
Cho mình một phần sữa chua dâu được không,sữa chua dâu một trà dâu một muốn
Cho mình gọi một nước ép cam với ạ,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Lấy giúp tôi một phần cà phê mang về,Tôi trà dâu một cà-phê sữa một đá ít muốn
Cho mình một matcha đá xay nha,Tôi phích cắm muốn
Tôi muốn uống một ly sữa chua đào bây giờ,Tôi cảm ơn
Tôi muốn uống một ly sữa chua xoài bây giờ,Tôi sữa chua xoài hai cà-phê đen một muốn
Anh gọi một ly trà uống tại quán,Tôi trà dâu ba đường ít muốn
Làm ơn cho mình một ly sữa chua dâu,Tôi sữa chua dâu một muốn
Cho em một cà phê ít đá nha,Tôi cà-phê sữa một đá ít giấy ăn muốn
Làm ơn chuẩn bị cho mình một sữa chua dâu,sữa chua dâu một trà dâu một muốn
Cho mình gọi một matcha latte với ạ,Tôi giấy ăn muốn
Cho em xin một nước ép cam size vừa nha,mình cảm ơn
Cho tôi một ly matcha latte lạnh nha,Tôi giấy ăn muốn
Cho mình một sữa chua dâu nha,Tôi sữa chua dâu một muốn
Làm ơn cho mình một ly cà phê trứng nóng,Tôi giấy ăn phích cắm muốn
Anh gọi một ly trà thạch sữa đào uống tại quán,Tôi muỗng một muốn
Anh gọi một ly cà phê đen phin uống tại quán,mình sạc phích cắm muốn
Mình order một ly sữa chua dâu nha bạn,Tôi sữa chua dâu một muốn
Lấy giúp tôi một phần sữa tươi trân châu đường đen mang về,Tôi trà sữa một muốn
Làm ơn cho mình một ly cốt dừa cốm xanh,mình giấy ăn một muốn
Lấy cho mình một ly cà phê đen máy mang đi,Tôi ống hút một muốn
Làm ơn chuẩn bị cho mình một cốt dừa cốm xanh,mình giấy ăn một muốn
Cho em xin một sữa tươi trân châu đường đen size vừa nha,Tôi trà sữa một muốn
Tôi muốn uống một ly cà phê muối bây giờ,Tôi ly nhỏ một muốn
Pha giúp mình một socala nóng thật ngon,Tôi giấy ăn muốn
Cho mình gọi một sữa chua dâu với ạ,sữa chua dâu một trà dâu một muốn
Cho em một sữa chua chanh dây ít đá nha,mình sữa chua chanh dây một lạnh muốn
Cho mình một phần cà phê đen máy được không,Tôi ống hút một muốn
Cho mình gọi một cà phê trứng nóng với ạ,Tôi giấy ăn phích cắm muốn
Lấy giúp tôi một phần cốt dừa cốm xanh mang về,mình giấy ăn một muốn
Mình muốn gọi một ly matcha đá xay,Tôi phích cắm muốn
Tôi muốn uống một ly sữa chua dâu bây giờ,Tôi sữa chua dâu một muốn
Anh gọi một ly cà phê muối uống tại quán,Tôi ly nhỏ một muốn
Mình order một ly trà nha bạn,mình trà xoài một đường ít muốn
Lấy giúp tôi một phần matcha latte mang về,Tôi giấy ăn muốn
Tôi muốn uống một ly trà bây giờ,mình trà xoài một đường ít muốn
Cho mình một phần matcha đá xay được không,Tôi phích cắm muốn
Lấy giúp tôi một phần sữa chua xoài mang về,Tôi cà-phê đen một sữa chua xoài hai muốn
Pha giúp mình một sữa chua chanh dây thật ngon,Tôi sữa chua chanh dây bốn phích cắm muốn
Cho mình một phần cà phê muối được không,Tôi ly nhỏ một muốn
Tôi muốn uống một ly socala nóng bây giờ,Tôi giấy ăn muốn
Pha giúp mình một trà thạch sữa đào thật ngon,Tôi muỗng một muốn
Lấy giúp tôi một phần nước ép thơm mang về,mình nước ép thơm một lạnh muốn
Cho em xin một cà phê đen phin size vừa nha,mình sạc phích cắm muốn
Pha giúp mình một sữa chua xoài thật ngon,Tôi sữa chua xoài hai sữa chua dâu một muốn
Làm ơn cho mình một ly sữa tươi trân châu đường đen,Tôi trà dâu hai trà sữa một muốn
Lấy giúp tôi một phần trà gừng mang về,Tôi trà gừng một nóng muốn
Làm ơn cho mình một ly trà gừng,Tôi khăn giấy ít muốn
Lấy giúp tôi một phần sữa chua đào mang về,Tôi cảm ơn
Mình order một ly trà thạch sữa đào nha bạn,Tôi muỗng một muốn
Cho mình một nước ép cam nha,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Mình muốn gọi một ly nước ép thơm,mình nước ép thơm một lạnh muốn
Pha giúp mình một trà gừng thật ngon,Tôi khăn giấy ít muốn
Anh gọi một ly trà gừng uống tại quán,Tôi khăn giấy ít muốn
Cho tôi một ly cốt dừa cốm xanh lạnh nha,mình giấy ăn một muốn
Cho mình một sữa chua xoài nha,Tôi cà-phê đen một sữa chua xoài hai muốn
Cho mình gọi một cà phê với ạ,Tôi cà-phê sữa một đá ít giấy ăn muốn
Cho tôi một ly trà thạch sữa đào lạnh nha,Tôi muỗng một muốn
Cho mình một phần cà phê được không,Tôi cà-phê sữa một đá ít giấy ăn muốn
Mình order một ly nước ép cam nha bạn,Tôi trà hoa đậu biếc một nước ép cam ba muốn
Lấy giúp tôi một phần cà phê đen phin mang về,mình sạc phích cắm muốn
Cho mình một phần socola đá xay được không,Tôi ống hút một muốn
Anh gọi một ly socola đá xay uống tại quán,Tôi ống hút một muốn
Làm ơn cho mình một ly cà phê đen phin,mình sạc phích cắm muốn
Cho mình một matcha macchiato nha,mình giấy ăn ít muốn
Cho tôi một ly sữa chua chanh dây lạnh nha,mình sữa chua chanh dây một lạnh muốn
Cho mình một sữa chua chanh dây nha,mình sữa chua chanh dây một lạnh muốn
Cho tôi một ly sữa tươi trân châu đường đen lạnh nha,Tôi trà sữa một muốn
Cho mình gọi một cà phê moca với ạ,mình phích cắm muốn
Lấy cho mình một ly sữa chua chanh dây mang đi,mình sữa chua chanh dây một lạnh muốn
Lấy cho mình một ly cà phê moca mang đi,mình phích cắm muốn
Làm ơn chuẩn bị cho mình một sữa tươi trân châu đường đen,Tôi trà sữa một muốn
Cho tôi một ly nước ép cam lạnh nha,mình nước ép cam một đá ít muốn
Anh gọi một ly sữa chua dâu uống tại quán,Tôi sữa chua dâu một muốn
Lấy giúp tôi một phần socala nóng mang về,Tôi giấy ăn muốn
Làm ơn cho mình một ly cà phê moca,mình phích cắm muốn
Cho em một matcha macchiato ít đá nha,mình giấy ăn ít muốn
Lấy giúp tôi một phần sữa tươi trân châu đường đen kem trứng mang về,Tôi trà sữa hai đá muốn
Anh gọi một ly sữa tươi trân châu đường đen kem trứng uống tại quán,Tôi trà sữa  ba giấy ăn muốn
Cho em một nước ép thơm ít đá nha,Tôi nước ép thơm một muốn
Cho mình một phần matcha macchiato được không,mình giấy ăn ít muốn
Mình order một ly socala nóng nha bạn,Tôi giấy ăn muốn
Cho mình một phần cà phê moca được không,mình phích cắm muốn
Mình muốn gọi một ly sữa chua chanh dây,Tôi sữa chua chanh dây ba phích cắm muốn
Làm ơn chuẩn bị cho mình một nước ép thơm,mình nước ép thơm một lạnh muốn
Cho mình một phần sữa chua chanh dây được không,Tôi sữa chua chanh dây bốn phích cắm muốn
Cho mình một phần sữa tươi trân châu đường đen kem trứng được không,Tôi trà sữa hai đá muốn
Cho em xin một sữa chua dâu size vừa nha,sữa chua dâu một trà dâu một muốn
Lấy giúp tôi một phần nước ép ổi mang về,Tôi nước ép ổi một muốn
Pha giúp mình một cà phê muối thật ngon,Tôi ly nhỏ một muốn
Cho tôi một ly sữa tươi trân châu đường đen kem trứng lạnh nha,Tôi trà sữa hai đá muốn
Lấy cho mình một ly cà phê trứng nóng mang đi,Tôi giấy ăn phích cắm muốn
Lấy giúp tôi một phần cà phê muối mang về,Tôi ly nhỏ một muốn
Tôi muốn uống một ly trà thạch sữa đào bây giờ,Tôi muỗng một muốn
Lấy cho mình một ly cốt dừa cốm xanh mang đi,mình giấy ăn một muốn
Cho tôi một ly trà gừng lạnh nha,Tôi trà gừng một nóng muốn
Cho em một sữa chua dâu ít đá nha,Tôi sữa chua dâu một muốn
Tôi muốn uống một ly nước ép cóc bây giờ,Tôi phích cắm muốn
Mình muốn gọi một ly cà phê,Tôi trà dâu một cà-phê sữa một đá ít muốn
Pha giúp mình một nước ép ổi thật ngon,Tôi nước ép ổi hai ngọt ít muốn
