input_text,target_text
vi: Tôi thích dâu và sầu riêng .,"vsl: Tôi dâu , sầu riêng thích ."
vi: Tôi thích nhất màu trắng .,vsl: Tôi màu trắng thích nhất .
vi: ông ngoại bạn khỏe không ?,vsl: Ông ngoại bạn khỏe ?
vi: Anh của bạn có cao không ?,vsl: Anh bạn cao ?
vi: Nhà tôi có nuôi chó và mèo .,"vsl: Nhà tôi mèo , chó có . ."
vi: Bạn biết lái xe hơi không ?,vsl: Bạn lái xe hơi biết ?
vi: Con vật gì sống dưới biển ?,vsl: Sống ở biển động vật gì ?
vi: Bạn thích sầu riêng không ?,vsl: Bạn sầu riêng thích ?
vi: Tôi có một chiếc áo đỏ nhạt .,vsl: Tôi áo đỏ nhạt 1 có .
"vi: Chú của tôi 50 tuổi , thấp .","vsl: Chú tôi tuổi 50 , thấp ."
vi: Tên ký hiệu của bạn là gì ?,vsl: Tên ký hiệu bạn gì ?
vi: Bạn có thích xe hơi không ?,vsl: Bạn ô tô thích ?
vi: Việt Nam có động đất không ?,vsl: Việt Nam động đất có ?
vi: Ở biển có cá heo và cá mập .,"vsl: Cá heo , cá mập biển có"
vi: Bạn không thích con vật gì ?,vsl: Bạn động vật không thích gì ?
vi: Một tháng có 30 hoặc 31 ngày .,vsl: Một tháng ngày 30 hoặc 31 .
vi: Mẹ của bạn bao nhiêu tuổi ?,vsl: Mẹ bạn tuổi mấy ?
vi: Nhà của bạn có xe đạp không ?,vsl: Nhà bạn xe đạp có ?
vi: Nhà của bạn có xe hơi không ?,vsl: Nhà bạn ô tô có ?
vi: Bạn thích chạy xe đạp không ?,vsl: Bạn chạy xe đạp thích ?
vi: Tôi không thích màu tím đậm .,vsl: Tôi màu tím đậm không thích .
vi: Áo của ai có nhiều màu nhất ?,vsl: Áo màu nhiều nhất ai ?
"vi: Mẹ tôi 50 tuổi , đẹp và hiền .","vsl: Mẹ tôi tuổi 50 đẹp , hiền ."
vi: Người ngoài kia là lớp trưởng .,vsl: ở ngoài lớp trưởng .
vi: Miền Nam Việt Nam có mấy mùa ?,vsl: Miền Nam Việt Nam mùa mấy?
vi: Bạn thích bơi ở sông hay biển ?,vsl: Bạn thích bơi ở sông hay là ở biển ?
vi: Tôi không thích màu cam và màu hồng,"vsl: Tôi màu cam , màu hồng không thích ."
"vi: Trong nhà , bạn thương ai nhất ?",vsl: Ở trong gia đình bạn thương nhất ai ?
vi: Tại sao bạn thích mùa mưa nhất ?,vsl: Bạn mùa mưa thích nhất tại sao ?
"vi: Có rừng , cây , suối và động vật .","vsl: Rừng , cây , suối , động vật có ."
vi: Em gái của tôi đã lập gia đình .,vsl: Em gái tôi lập gia đình .
vi: Bạn thích môn học nào nhất ?,vsl: Bạn học môn thích gì ?
vi: Tôi có 10 cây bút chì màu vàng .,vsl: Tôi bút chì màu vàng 10 có .
vi: Nhà của bạn có bao nhiêu xe máy ?,vsl: Nhà bạn xe máy mấy ?
"vi: Có đại dương , sông suối và ao cá .","vsl: Đại dương , sông , suối , ao cá có"
"vi: Một năm có bốn mùa : xuân , hạ , thu , đông .","vsl: 1 năm mùa 4 : xuân , hạ , thu , đông ."
vi: Tôi không có xe máy nhưng có xe đạp .,vsl: Tôi xe máy không xe đạp có
vi: Tôi không thích sầu riêng vì nó hôi .,"vsl: Tôi sầu riêng không thích , hôi ."
"vi: Áo của tôi có 3 màu : đỏ , đen , trắng .","vsl: Áo tôi màu 3 : đỏ , đen , trắng ."
"vi: Ở Việt Nam , lũ lụt xảy ra nhiều nhất ở đâu ?",vsl: Việt Nam lũ lụt nhiều nhất ở đâu?
vi: Tôi biết lái xe hơi nhưng không có xe .,vsl: Tôi lái xe biết nhưng ô tô không .
"vi: Tôi học 5 môn : toán , văn , lý , hóa , sinh .","vsl: Tôi học môn 5 : toán , văn , lý , hóa , sinh ."
vi: Ngày mai là thứ 3 ngày 27 tháng 7 năm 2013 .,vsl: Ngày mai thứ 3 ngày 27 tháng 7 năm 2013 .
"vi: Gia đình tôi có 3 người : ba , mẹ và tôi .","vsl: Gia đình tôi người 3 : ba , mẹ , tôi ."
vi: Tuần trước bạn đi từ Hà Nội tới Sài Gòn bằng phương tiện gì ?,"vsl: Tuần trước , bạn đi Hà Nội Sài Gòn phương tiện gì ?"
vi: Miền Nam Việt nam có 2 mùa là : mùa khô và mùa mưa .,"vsl: Miền Nam Việt Nam mùa 2 : mùa khô , mùa mưa ."
"vi: Trong rừng có cọp , sư tử và hươu cao cổ .","vsl: Cọp, sư tử , hươu cao cổ rừng có ."
"vi: Người yêu của chị tôi xấu , cao và mập .","vsl: Chị tôi người yêu xấu , cao , mập ."
vi: Hôm qua là chủ nhật ngày 21 tháng 7 năm 2013,vsl: Hôm qua chủ nhật ngày 21 tháng 7 năm 2013
"vi: Hiệu trưởng trường tôi 50 tuổi , hiền và tốt .","vsl: Hiệu trưởng tôi tuổi 50 hiền , tốt ."
vi: Tôi thích mùa mưa nhất vì thời tiết mát mẻ,vsl: Tôi mùa mưa thích nhất thời tiết mát .
"vi: Lớp của tôi có 50 học sinh , 1 lớp trưởng và 1 lớp phó .",vsl: Lớp tôi học sinh 50 lớp trưởng 1 lớp phó 1 .
vi: Tôi thích xe hơi và tôi nghĩ mọi người cũng thích xe hơi .,vsl: Tôi ô tô thích tôi nghĩ ô tô mọi người thích .
"vi: Trường của tôi có 1 hiệu trưởng , 2 hiệu phó , 20 giáo viên và 200 học sinh",vsl: Trường tôi hiệu trưởng 1 hiệu phó 2 giáo viên 20 học sinh 200 .
vi: Dưa hấu có vỏ xanh và ruột đỏ,vsl: Dưa hấu vỏ màu xanh bên trong màu đỏ .
vi: Tôi đi học .,vsl: Tôi đi học .
"vi: Trưa nay , tôi ăn hai quả táo xanh .","vsl: Trưa nay, tôi táo xanh ăn hai ."
vi: Tôi thương mẹ tôi nhất .,vsl: Tôi mẹ thương nhất .
vi: Nhà tôi ở Thái Nguyên .,vsl: Nhà tôi ở Thái Nguyên .
vi: Con chưa uống sữa .,vsl: Con sữa uống chưa .
vi: Tôi thích ăn táo .,vsl: Tôi táo ăn thích .
vi: Tôi không thích ăn cam .,vsl: Tôi cam ăn thích không .
vi: Ai cho bạn mượn sách ?,vsl: Sách cho bạn mượn ai ?
vi: Em có bao nhiêu cái kẹo ?,vsl: Em kẹo có bao nhiêu ?
vi: Bạn thích ăn gì ?,vsl: Bạn ăn thích gì ?
vi: Gia đình của bạn có mấy người ?,vsl: Bạn gia đình người mấy ?
vi: Ngày mai là thứ ba đúng không ?,vsl: Ngày mai thứ 3 đúng không ?
vi: Bạn có người yêu chưa ?,vsl: Bạn người yêu có ?
vi: Bạn thích màu đen hay màu trắng ?,vsl: Bạn đen trắng thích ?
"vi: Ôi , bông hoa đẹp thế !",vsl: Bông hoa đẹp !
vi: Hãy mở cửa sổ ra !,vsl: Cửa sổ mở !
vi: Tôi tên là Lê .,vsl: Tôi tên L-Ê .
vi: Thái Nguyên nổi tiếng là tỉnh có chè ngon nhất Việt Nam .,vsl: Thái Nguyên tỉnh nổi tiếng chè ngon nhất Việt Nam .
vi: Tôi nhìn thấy bố rất buồn .,vsl: Tôi nhìn bố buồn .
vi: Bạn viết đẹp lắm !,vsl: Bạn viết đẹp .
vi: Mẹ nấu cơm ngon .,vsl: Mẹ cơm ngon nấu .
vi: Bố không ăn táo .,vsl: Bố táo ăn không .
vi: Bố không ăn .,vsl: Bố ăn không .
vi: Bạn ăn bao nhiêu táo ?,vsl: Bạn táo ăn bao nhiêu?
vi: Ai ăn táo ?,vsl: Táo ăn ai?
vi: Tôi ăn hai quả táo .,vsl: Tôi quả táo ăn hai .
vi: Ngôn ngữ kí hiệu Việt nam là dành cho tất cả mọi người .,vsl: Ngôn ngữ kí hiệu Việt Nam dành cho mọi người .
vi: Hằng ngắm mưa trong công viên .,vsl: Hằng mưa ngắm ở trong công viên .
vi: Chạy !,vsl: Chạy !
vi: Giúp tôi với !,vsl: Giúp tôi!
vi: Tiếp tục đi .,vsl: Tiếp tục đi .
vi: Chào bạn .,vsl: Chào bạn .
vi: Nhanh lên nào !,vsl: Nhanh lên .
vi: Tôi sẽ thử .,vsl: Tôi thử .
vi: Tôi sẽ thử xem sao .,vsl: Tôi thử xem sao .
vi: Ăn đi .,vsl: Ăn đi .
vi: Ăn nó đi .,vsl: Ăn nó đi .
vi: Hiểu rồi !,vsl: Hiểu rồi .
vi: Cứu tôi với !,vsl: Cứu tôi với .
vi: Tôi cũng nghĩ như vậy .,vsl: Tôi cũng nghĩ như vậy .
vi: Hoàn hảo !,vsl: Hoàn hảo .
vi: Chúng tôi biết .,vsl: Chúng tôi biết .
vi: Chúng ta biết .,vsl: Chúng ta biết .
vi: Bạn chạy .,vsl: Bạn chạy .
vi: Đừng có rầu rĩ quá như thế .,vsl: Đừng có rầu rĩ quá như thế .
vi: Hắn thử .,vsl: Hắn thử .
vi: Anh thử .,vsl: Anh thử .
vi: Thoáng cái chân lên !,vsl: Thoáng cái chân lên .
vi: Tôi quên mất rồi .,vsl: Tôi quên mất rồi .
vi: Tôi sẽ thử .,vsl: Tôi thử .
vi: Tôi sẽ thử xem sao .,vsl: Tôi thử xem sao .
vi: Tôi bị hói,vsl: Tôi hói .
vi: Tôi đang bận .,vsl: Tôi bận .
vi: Muộn quá .,vsl: Muộn quá .
vi: Lại đây nào .,vsl: đây .
vi: Lại đây .,vsl: đây .
vi: Lại đây đi .,vsl: đây đi .
vi: Đi ngủ đi .,vsl: Đi ngủ đi .
vi: Tôi ghét ti vi .,vsl: Tôi ghét ti vi .
vi: Tôi đã cười .,vsl: Tôi cười .
vi: Tôi cười .,vsl: Tôi cười .
vi: Tôi sẽ đi .,vsl: Tôi đi .
vi: Nó có tồi không ?,vsl: Nó có tồi không ?
vi: Lạnh .,vsl: Lạnh .
vi: Đó là của chúng tôi .,vsl: Đó là chúng tôi .
vi: Đó là của chúng ta .,vsl: Đó là chúng ta .
vi: Lùi lại .,vsl: Lùi .
vi: Lùi lại đi .,vsl: Lùi đi .
vi: Lại đây .,vsl: đây .
vi: Nó đã khóc .,vsl: Nó khóc .
vi: Cô ấy đã khóc,vsl: Cô khóc .
vi: Hãy ngồi ở đó .,vsl: ngồi ở đó .
vi: Ở nhà .,vsl: Ở nhà .
vi: Gì thế ?,vsl: Gì ?
vi: Có chuyện gì ?,vsl: Có chuyện gì ?
vi: Ai mà biết được ?,vsl: mà biết được ai ?
vi: Bạn có sao không ?,vsl: Bạn có sao không ?
vi: Hãy tìm một công việc đi .,vsl: tìm một công việc đi .
vi: Hãy mau về nhà đi .,vsl: mau về nhà đi .
vi: Tôi đọc được .,vsl: Tôi đọc được .
vi: Tôi đã làm đấy .,vsl: Tôi làm đấy .
vi: Tôi đoán vậy .,vsl: Tôi đoán .
vi: Tôi đoán thế .,vsl: Tôi đoán .
vi: Tôi ghét anh .,vsl: Tôi ghét anh .
vi: Tôi yêu cô ấy .,vsl: Tôi yêu cô .
vi: Anh phải lòng em .,vsl: Anh phải lòng em .
vi: Tôi thích bạn .,vsl: Tôi thích bạn .
vi: Tôi cảm thấy cô đơn .,vsl: Tôi cảm thấy cô đơn .
vi: Tôi béo quá .,vsl: Tôi béo quá .
vi: Tôi béo vãi .,vsl: Tôi béo vãi .
vi: Đó là phép thuật .,vsl: Đó là phép thuật .
vi: Để tôi thử .,vsl: tôi thử .
vi: Không đùa chứ ?,vsl: đùa không ?
vi: Thời gian đã hết .,vsl: Thời gian hết .
vi: Hết giờ .,vsl: Hết giờ .
vi: Hết thời gian .,vsl: Hết thời gian .
vi: Nam đã nháy mắt .,vsl: Nam nháy mắt .
vi: Nam nháy mắt .,vsl: Nam nháy mắt .
vi: Ai đây ?,vsl: đây ai ?
vi: Hãy đúng giờ .,vsl: đúng giờ .
vi: Đừng đánh nhau .,vsl: Đừng đánh nhau .
vi: Đừng có mà đánh nhau .,vsl: Đừng có mà đánh nhau .
vi: Đừng đi !,vsl: Đừng đi .
vi: Đừng đi mà !,vsl: Đừng đi mà .
vi: Đừng bỏ đi !,vsl: Đừng bỏ đi .
vi: Đừng bỏ đi mà !,vsl: Đừng bỏ đi mà .
vi: Đi ngủ đi .,vsl: Đi ngủ đi .
vi: Tôi nghe bạn rồi .,vsl: Tôi nghe bạn rồi .
vi: Tôi thích cả hai cái .,vsl: Tôi thích hai cái .
vi: Tôi thích nhạc jazz .,vsl: Tôi thích nhạc jazz .
vi: Tôi thích toán .,vsl: Tôi thích toán .
vi: Tôi thích đậu Hà Lan .,vsl: Tôi thích đậu Hà Lan .
vi: Tôi sống ở đây .,vsl: Tôi sống ở đây .
vi: Tôi cần thêm .,vsl: Tôi thêm .
vi: Tôi cần thêm nữa .,vsl: Tôi thêm nữa .
vi: Tôi nhìn thấy UFO .,vsl: Tôi nhìn thấy UFO .
vi: Tôi thấy một con chó .,vsl: Tôi thấy một con chó .
vi: Tôi lo lắng .,vsl: Tôi lo lắng .
vi: Tôi không phải Nam .,vsl: Tôi phải Nam không
vi: Tôi không phải là Nam .,vsl: Tôi phải là Nam không
vi: Tôi đã say rượu,vsl: Tôi say rượu .
vi: Tôi khát nước .,vsl: Tôi khát nước .
vi: Nó vừa với tôi .,vsl: Nó vừa với tôi .
vi: Thực hiện thôi .,vsl: Thực hiện thôi .
vi: Tôi có thể bắt đầu được không ?,vsl: Tôi có thể bắt đầu được không ?
vi: Tôi bắt đầu được không ạ ?,vsl: Tôi bắt đầu được không ?
vi: Không ai tới hết .,vsl: tới hết ai
vi: Không ai đến .,vsl: đến ai
vi: Cô ấy là một người tốt bụng .,vsl: Cô là một người tốt bụng .
vi: Nói thật đi .,vsl: Nói thật đi .
vi: Hãy nói thật đi .,vsl: nói thật đi .
vi: Hãy nói sự thật đi .,vsl: nói sự thật đi .
vi: Nói chậm thôi .,vsl: Nói chậm thôi .
vi: Hãy nói chậm thôi .,vsl: nói chậm thôi .
vi: Nam đã trông thấy bạn .,vsl: Nam trông thấy bạn .
vi: Nam đã nhìn thấy bạn .,vsl: Nam nhìn thấy bạn .
vi: Hãy bầu cho tôi !,vsl: bầu cho tôi .
vi: Bầu cho tôi đi !,vsl: Bầu cho tôi đi .
vi: Chúng tôi nhớ Nam .,vsl: Chúng tôi nhớ Nam .
vi: Cái này là cái gì ?,vsl: Cái này là cái gì ?
vi: Đây là cái gì ?,vsl: Đây là cái gì ?
vi: Em là của anh .,vsl: Em là anh .
vi: Anh là của em .,vsl: Anh là em .
vi: Mày là của tao .,vsl: Mày là tao .
vi: Có ai ở nhà không ?,vsl: Có ở nhà không ?
vi: Có ai ở nhà không ạ ?,vsl: Có ở nhà không ?
vi: Bạn có lạnh không ?,vsl: Bạn có lạnh không ?
vi: Bạn lạnh không ?,vsl: Bạn lạnh không ?
vi: Bạn có sao không ?,vsl: Bạn có sao không ?
vi: Hãy đến cứu tôi !,vsl: đến cứu tôi .
vi: Đi với tôi .,vsl: Đi với tôi .
vi: Đừng ngại .,vsl: Đừng ngại .
vi: Đừng ngượng .,vsl: Đừng ngượng .
vi: Lái nhanh hơn đi .,vsl: Lái nhanh hơn đi .
vi: Chào buổi tối .,vsl: Chào buổi tối .
"vi: Chờ chút , Nam .",vsl: Chờ chút Nam .
vi: Tôi ngưỡng mộ Nam .,vsl: Tôi ngưỡng mộ Nam .
vi: Tôi đang ở nhà .,vsl: Tôi ở nhà .
vi: Tôi tò mò .,vsl: Tôi tò mò .
vi: Tôi không biết .,vsl: Tôi biết không
vi: Tôi không hiểu .,vsl: Tôi hiểu không
vi: Tôi nghe nhạc .,vsl: Tôi nghe nhạc .
vi: Tôi thích bánh mì .,vsl: Tôi thích bánh mì .
vi: Tôi thích bánh mỳ .,vsl: Tôi thích bánh mỳ .
vi: Tôi không thua đâu !,vsl: Tôi thua đâu không
vi: Lấy cho tôi cái kia .,vsl: Lấy cho tôi cái kia .
vi: Tôi sẽ trả tiền cho bạn .,vsl: Tôi trả tiền cho bạn .
vi: Tôi vô tội !,vsl: Tôi tội không .
vi: Tôi không có tội !,vsl: Tôi tội không
vi: Tôi trong sạch !,vsl: Tôi trong sạch .
vi: Tôi là người mới ở đây .,vsl: Tôi người ở đây .
vi: Tôi không rảnh .,vsl: Tôi rảnh không
vi: Em không rảnh .,vsl: Em rảnh không
vi: Mình không rảnh .,vsl: Mình rảnh không
vi: Tao không rảnh .,vsl: Tao rảnh không
vi: Tớ không rảnh .,vsl: Tớ rảnh không
vi: Tôi sắp nghỉ hưu .,vsl: Tôi sắp nghỉ hưu .
vi: Thứ hai OK không ?,vsl: Thứ hai OK không ?
vi: Thứ Hai được không ?,vsl: Thứ Hai được không ?
vi: Nam có ở đó không ?,vsl: Nam có ở đó không ?
vi: Nó đã từng là một cái pizza .,vsl: Nó là một cái pizza .
vi: Trời đang mưa .,vsl: Trời mưa .
vi: Quá dễ .,vsl: Quá dễ .
vi: Việc này thật là khó .,vsl: Việc này thật là khó .
vi: Đó là luật .,vsl: Đó là luật .
vi: Cứ tiếp tục nhìn đi .,vsl: Cứ tiếp tục nhìn đi .
vi: Cứ tiếp tục xem đi .,vsl: Cứ tiếp tục xem đi .
vi: Để Nam ở lại .,vsl: Nam ở .
vi: Hãy để Nam đợi .,vsl: Nam đợi .
vi: Hãy để tôi mơ mộng .,vsl: tôi mơ mộng .
vi: Để tôi mơ đi .,vsl: tôi mơ đi .
vi: Thử nó xem sao .,vsl: Thử nó xem sao .
vi: Thử nó đi .,vsl: Thử nó đi .
vi: Mắt tớ đau .,vsl: Mắt tớ đau .
vi: Mắt tôi bị đau .,vsl: Mắt tôi đau .
vi: Giờ chúng ta đi thôi nào .,vsl: Giờ chúng ta đi thôi .
vi: Cô ấy thích nó .,vsl: Cô thích nó .
vi: Cô ấy yêu tôi .,vsl: Cô yêu tôi .
vi: Ở nhà .,vsl: Ở nhà .
vi: Dừng ghi hình .,vsl: Dừng ghi hình .
vi: Cái đó là của tôi .,vsl: Cái đó là tôi .
vi: Đó là đĩa CD của tôi .,vsl: Đó là đĩa CD tôi .
vi: Nam giúp đỡ chúng tôi .,vsl: Nam giúp đỡ chúng tôi .
vi: Nam thích nó lắm .,vsl: Nam thích nó .
vi: Nam từng là một người nghèo .,vsl: Nam là một người nghèo .
vi: Đừng tin một ai .,vsl: Đừng tin một ai
vi: Đừng tin ai hết .,vsl: Đừng tin hết ai
vi: Đừng tin bất cứ ai .,vsl: Đừng tin bất cứ ai
vi: Thật khó tin !,vsl: Thật khó tin .
vi: Thật là khó tin !,vsl: Thật là khó tin .
vi: Thật không thể tin được !,vsl: Thật không thể tin được .
vi: Chúng ta cần cả hai .,vsl: Chúng ta hai .
vi: Ai xây cái kia vậy ?,vsl: xây cái kia ai ?
vi: Ai đã xây cái kia vậy ?,vsl: xây cái kia ai ?
vi: Ai là người đã xây cái kia vậy ạ ?,vsl: là người xây cái kia ai ?
vi: Sao cậu chưa đi đi ?,vsl: Sao cậu chưa đi đi ?
vi: Bạn thật hống hách .,vsl: Bạn thật hống hách .
vi: Bạn khó chiều quá .,vsl: Bạn khó chiều quá .
vi: Hãy hỏi bất kỳ người phụ nữ nào .,vsl: hỏi bất kỳ người phụ nữ .
vi: Lại đây nào .,vsl: Lại đây .
vi: Lại đây .,vsl: Lại đây .
vi: Lại đây đi .,vsl: Lại đây .
vi: Anh ấy đã đào một cái hố .,vsl: Anh đào một cái hố .
vi: Ông ấy đã đào một cái hố .,vsl: Ông đào một cái hố .
vi: Thật đẹp làm sao !,vsl: Thật đẹp làm sao .
vi: Tôi không thể tiếp tục .,vsl: Tôi không thể tiếp tục .
vi: Tôi đã có thể làm điều này .,vsl: Tôi có thể làm điều này .
vi: Tôi đã có thể làm được .,vsl: Tôi có thể làm được .
vi: Tôi cảm thấy cô đơn .,vsl: Tôi cảm thấy cô đơn .
vi: Tớ ghét di chuyển .,vsl: Tớ ghét di chuyển .
vi: Tôi có một cuốn sách .,vsl: Tôi có một cuốn sách .
vi: Tôi biết Boston .,vsl: Tôi biết Boston .
vi: Tôi có biết Boston .,vsl: Tôi có biết Boston .
vi: Tôi chơi môn quần vợt .,vsl: Tôi chơi môn quần vợt .
vi: Tôi mặc quần đùi,vsl: Tôi mặc quần đùi .
vi: Tôi sẽ giết bạn .,vsl: Tôi giết bạn .
vi: Tôi sẽ cho bạn xem .,vsl: Tôi cho bạn xem .
vi: Tôi sẽ cho bạn thấy .,vsl: Tôi cho bạn thấy .
vi: Tôi đang phụ trách,vsl: Tôi phụ trách
vi: Nam có ở đó không ?,vsl: Nam có ở đó không ?
vi: Nam có nổi tiếng không vậy ?,vsl: Nam có nổi tiếng không ?
vi: Không đúng hả ?,vsl: đúng không ?
vi: Điều đó không đúng ư ?,vsl: Điều đó đúng không ?
vi: Tình hình trở nên xấu đi .,vsl: Tình hình trở nên xấu đi .
vi: Nó trở nên tệ hơn .,vsl: Nó trở nên tệ hơn .
vi: Trời đang mưa .,vsl: Trời mưa .
vi: Cái đó dùng tốt lắm .,vsl: Cái đó dùng tốt .
vi: Dùng được lắm .,vsl: Dùng được .
vi: Rất hiệu quả .,vsl: Rất hiệu quả .
vi: Bây giờ là hai giờ rưỡi .,vsl: Bây giờ là hai giờ rưỡi .
vi: Bây giờ là 2 giờ rưỡi .,vsl: Bây giờ là 2 giờ rưỡi .
vi: Bây giờ là 2 rưỡi .,vsl: Bây giờ là 2 rưỡi .
vi: Đó là một vũ khí .,vsl: Đó là một vũ khí .
vi: Nó dễ như ăn bánh vậy .,vsl: Nó dễ như ăn bánh .
vi: To quá .,vsl: To quá .
vi: Hãy hưởng thụ đi .,vsl: hưởng thụ đi .
vi: Ở yên đó .,vsl: Ở yên đó .
vi: Hãy giữ liên lạc nhé .,vsl: giữ liên lạc .
vi: Giữ liên lạc nhé .,vsl: Giữ liên lạc .
vi: Hãy giữ liên lạc nhé .,vsl: giữ liên lạc .
vi: Giữ liên lạc nhé .,vsl: Giữ liên lạc .
vi: Hãy để nó ở đây .,vsl: nó ở đây .
vi: Để anh ấy làm đi .,vsl: anh làm đi .
vi: Để nó làm đi .,vsl: nó làm đi .
vi: Để tui làm xong đã .,vsl: tui làm xong .
vi: Để tôi hoàn tất .,vsl: tôi hoàn tất .
vi: Chúng ta về nhà thôi .,vsl: Chúng ta về nhà thôi .
vi: Chúng ta về nhà thôi nào .,vsl: Chúng ta về nhà thôi .
vi: Tôi có thể hỏi tại sao không ?,vsl: Tôi có thể hỏi tại sao không ?
vi: Con về nhà được không ?,vsl: Con về nhà được không ?
vi: Tôi có thể về nhà không ?,vsl: Tôi có thể về nhà không ?
vi: Tôi đau đầu gối quá .,vsl: Tôi đau đầu gối quá .
"vi: Ờ , xin lỗi nghe .",vsl: Ờ xin lỗi nghe .
vi: Cô ấy là mẫu người của tôi .,vsl: Cô là mẫu người tôi .
vi: Bạn thích làm gì thì làm .,vsl: Bạn thích làm làm gì
vi: Thích làm gì thì làm .,vsl: Thích làm làm gì
vi: Hãy quét phòng tôi .,vsl: quét phòng tôi .
vi: Quét phòng tôi đi .,vsl: Quét phòng tôi đi .
vi: Hãy đưa tôi đến đó .,vsl: đưa tôi đến đó .
